Facility ID#,Facility Name,Facility Type,Facility Type ID,Full Address,Address,City,State,ZIP,Under/Over 72 Hr,Facility Operator,Facility Owner,Housing Options,Total ICE Pop. Per Day,Guaranteed Lockup Quota,Taxpayer $ Per Person Per Day,PBNDS/NDS
1,CCA Central Arizona Detention Center,Privately-Operated Detention Facilities,1,1155 North Pinal Parkway Florence AZ 85132,1155 North Pinal Parkway,Florence,AZ,85132,Over,Corrections Corporation of America (CCA),CCA,Male,As Needed,Yes - 374 beds (information obtained by Detention Watch Network),105.17,PBNDS 2008
2,CCA FLORENCE CORRECTIONAL CENTER,Privately-Operated Detention Facilities,1,1100 Bowling Road Florence  AZ 85132,1100 Bowling Road,Florence ,AZ,85132,Over,Corrections Corporation of America (CCA),CCA,Male,1071 (expanding to add 200 more beds as of late 2016),No,105.17,PBNDS 2008
3,ELIZABETH CONTRACT DETENTION FACILITY,Privately-Operated Detention Facilities,1,625 Evans Street Elizabeth NJ 07201,625 Evans Street,Elizabeth,NJ,07201,Over,Corrections Corporation of America (CCA),CCA,Male,287,Yes - 285 beds,130.81 (1-285); 129.57 (286-300); 32.57 (301+),PBNDS 2011
4,ELOY FEDERAL CONTRACT FACILITY,Privately-Operated Detention Facilities,1,1705 East Hanna Road Eloy AZ 85131,1705 East Hanna Road,Eloy,AZ,85131,Over,Corrections Corporation of America (CCA),CCA,Male/Female,1432,No,69.97,PBNDS 2011
5,HOUSTON CONTRACT DETENTION FACILITY,Privately-Operated Detention Facilities,1,15850 Export Plaza Houston TX 77032,15850 Export Plaza,Houston,TX,77032,Over,Corrections Corporation of America (CCA),CCA,Male/Female,931,Yes - 750 beds,109.24 (1-900);40 (901-1000),PBNDS 2011
6,LAREDO PROCESSING CENTER,Privately-Operated Detention Facilities,1,4702 East Saunders Street Laredo TX 78041,4702 East Saunders Street,Laredo,TX,78041,Over,Corrections Corporation of America (CCA),CCA,Male/Female,365,No,59.79,NDS
7,SAN DIEGO (OTAY MESA),Privately-Operated Detention Facilities,1,7488 Calzada De La Fuente San Diego CA 92154,7488 Calzada de la Fuente,San Diego,CA,92154,Over,Corrections Corporation of America (CCA),OFDT,Male/Female,986,Yes - 900 beds (information obtained by Detention Watch Network),Unknown,PBNDS  2011
8,SOUTH TEXAS FAMILY RESIDENTIAL CENTER,Privately-Operated Detention Facilities,1,1925 Western Highway 85 Dilley TX 78017,1925 Western Highway 85,Dilley,TX,78017,Over,Corrections Corporation of America (CCA),CCA,Women/Children,1111,Unknown,298,PBNDS 2011
9,STEWART DETENTION CENTER,Privately-Operated Detention Facilities,1,146 Cca Road Lumpkin GA 31815,146 CCA Road,Lumpkin,GA,31815,Over,Corrections Corporation of America (CCA),County,Male,1892,No,62.03,PBNDS 2008
10,WESTERN TENNESSEE DETENTION FACILITY,Privately-Operated Detention Facilities,1,6299 Finde Naifeh Drive Maison TN 38049,6299 Finde Naifeh Drive,Maison,TN,38049,Over,Corrections Corporation of America (CCA),County,Male,145 (expanded to add 250 more beds in late 2016),No,102.83,PBNDS 2008
