NAME,ADDRESS,CITY,STATE,ZIP,TYPE DETAILED,Male/Female,FY24 ADP,OVER/UNDER 72 STATUS,LAST INSPECTION DATE,Medical Personal,CATEGORY,STATE CODE,COUNTY CODE,TRACT CODE,GEOID,LONGITUDE,LATITUDE
ADAMS COUNTY DET CENTER,20 HOBO FORK RD.,NATCHEZ,MS,39120,DIGSA,Female/Male,"1,505",Over 72,1/12/23,65,Dedicated,28,001,000101,28001000101,-82.48125431,42.94146913
ADELANTO ICE PROCESSING CENTER,10250 RANCHO ROAD,ADELANTO,CA,92301,CDF,Female/Male,7,Over 72,2/9/23,55,Dedicated,06,071,009133,06071009133,-84.77244981,32.03799594
ALAMANCE COUNTY DETENTION FACILITY,109 SOUTH MAPLE STREET,GRAHAM,NC,27253,IGSA,Female/Male,21,Over 72,9/28/23,,Non-dedicated,37,001,020901,37001020901,-70.93864671,43.21926117
ALLEN PARISH PUBLIC SAFETY COMPLEX,7340 HIGHWAY 26 WEST,OBERLIN,LA,70655,IGSA,Male,123,Over 72,10/19/23,,Non-dedicated,22,003,950400,22003950400,-97.41955906,30.56644276
BAKER COUNTY SHERIFF'S OFFICE,1 SHERIFF OFFICE DRIVE,MACCLENNY,FL,32063,IGSA,Female/Male,231,Over 72,10/19/23,,Non-dedicated,12,003,040101,12003040101,,
BLUEBONNET DETENTION FACILITY,400 2ND STREET,ANSON,TX,79501,DIGSA,Male,587,Over 72,12/22/22,,Dedicated,48,253,020200,48253020200,-119.8104302,39.57170224
BOONE COUNTY JAIL,3020 CONRAD LANE,BURLINGTON,KY,41005,USMS IGA,Female/Male,133,Over 72,11/16/23,,Non-dedicated,21,015,070506,21015070506,,
BROWARD TRANSITIONAL CENTER,3900 NORTH POWERLINE ROAD,POMPANO BEACH,FL,33073,CDF,Female/Male,599,Over 72,12/14/23,32,Dedicated,12,011,010405,12011010405,-71.38317269,41.89286446
BUFFALO SPC,4250 FEDERAL DRIVE,BATAVIA,NY,14020,SPC,Female/Male,512,Over 72,12/15/22,,Dedicated,36,037,950401,36037950401,-119.1943616,34.14788848
CALHOUN COUNTY CORRECTIONAL CENTER,185 EAST MICHIGAN AVENUE,BATTLE CREEK,MI,49014,IGSA,Female/Male,124,Over 72,4/13/23,,Non-dedicated,26,025,000700,26025000700,-85.1758067,42.31541584
CAROLINE DETENTION FACILITY,11093 S.W. LEWIS MEMORIAL DRIVE,BOWLING GREEN,VA,22427,DIGSA,Female/Male,250,Over 72,12/22/22,28,Dedicated,,,,,,
CENTRAL ARIZONA FLORENCE CORRECTIONAL CENTER,1100 BOWLING ROAD,FLORENCE,AZ,85132,USMS IGA,Male,367,Under 72,12/7/23,,Non-dedicated,04,021,000903,04021000903,-111.37049,33.0429402
CENTRAL LOUISIANA ICE PROCESSING CENTER (CLIPC),830 PINEHILL ROAD,JENA,LA,71342,DIGSA,Female/Male,"1,010",Over 72,1/13/22,55,Dedicated,22,059,970200,22059970200,-92.15070187,31.70805627
CHASE COUNTY JAIL,301 SOUTH WALNUT STREET,COTTONWOOD FALL,KS,66845,IGSA,Female/Male,76,Over 72,3/16/23,,Non-dedicated,20,017,,20017,,
CHIPPEWA COUNTY SSM,325 COURT STREET,SAULT SAINTE MARIE,MI,49783,IGSA,Female/Male,10,Over 72,5/11/23,,Non-dedicated,26,033,970300,26033970300,-84.34597182,46.49777327
CIBOLA COUNTY CORRECTIONAL CENTER,2000 CIBOLA LOOP,MILAN,NM,87021,IGSA,Male,148,Over 72,2/16/23,,Non-dedicated,35,006,974701,35006974701,-107.9085199,35.18018756
CLAY COUNTY JAIL,611 EAST JACKSON STREET,BRAZIL,IN,47834,USMS IGA,Female/Male,36,Over 72,2/9/23,,Non-dedicated,18,021,040200,18021040200,-87.11966035,39.52396062
CLINTON COUNTY CORRECTIONAL FACILITY,419 SHOEMAKER ROAD,LOCK HAVEN,PA,17745,USMS IGA,Male,61,Over 72,1/12/23,,Non-dedicated,42,035,030500,42035030500,-77.33704486,41.15460761
CLINTON COUNTY JAIL,25 MCCARTHY DRIVE,PLATTSBURGH,NY,12901,USMS IGA,Female/Male,2,Over 72,10/27/22,,Non-dedicated,36,019,100800,36019100800,-73.46809067,44.71952491
CNMI DEPARTMENT OF CORRECTIONS (SUSUPE),"TEKKEN ST., SUSUPE VILLAGE",SAIPAN,MP,96950,USMS IGA,Female/Male,5,Over 72,2/26/22,,Non-dedicated,,,,,-91.21849782,31.55517874
